wine_name,vintage,region,predict_score,target_score,predict_price,target_price
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2002,Hermitage,93.35,88,231.84,116
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2001,Hermitage,93.32,91,229.41,153
"Paul Jaboulet Aine, Hermitage, La Chapelle Rouge",2000,Hermitage,93.29,90,226.98,145
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2023,Pessac-Leognan,95.0,-,549.74,-
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2022,Pessac-Leognan,94.97,96,547.33,343
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2021,Pessac-Leognan,94.94,95,544.91,303
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2020,Pessac-Leognan,94.91,96,542.5,371
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2019,Pessac-Leognan,94.88,96,540.08,583
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2018,Pessac-Leognan,94.85,96,537.67,439
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2017,Pessac-Leognan,94.82,95,535.25,353
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2016,Pessac-Leognan,94.79,96,532.84,530
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2015,Pessac-Leognan,94.76,96,530.42,482
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2014,Pessac-Leognan,94.73,94,528.01,241
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2013,Pessac-Leognan,94.7,92,525.59,198
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2012,Pessac-Leognan,94.67,94,523.18,263
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2011,Pessac-Leognan,94.64,93,520.76,296
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2010,Pessac-Leognan,94.61,97,518.35,822
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2009,Pessac-Leognan,94.58,96,515.93,782
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2008,Pessac-Leognan,94.55,93,513.52,263
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2007,Pessac-Leognan,94.52,92,511.1,283
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2006,Pessac-Leognan,94.49,93,508.68,381
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2005,Pessac-Leognan,94.46,96,506.27,656
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2004,Pessac-Leognan,94.43,92,503.85,269
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2003,Pessac-Leognan,94.4,93,501.44,304
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2002,Pessac-Leognan,94.37,91,499.02,234
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2001,Pessac-Leognan,94.34,93,496.61,368
"Chateau La Mission Haut-Brion Cru Classe, Pessac-Leognan",2000,Pessac-Leognan,94.31,95,494.19,769
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2023,Saint-Julien,94.26,-,504.06,-
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2022,Saint-Julien,94.23,97,501.64,242
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2021,Saint-Julien,94.2,95,499.23,221
"Ducru-Beaucaillou 2eme Cru Classe, Saint-Julien",2020,Saint-Julien,94.17,96,496.81,261
